"employee_number","first_name","last_name","hire_date"
213390,"Vidya","Stroustrup","1986-01-03"
68548,"Josyula","Highland","1986-01-03"
485166,"Karoline","Heystek","1986-01-03"
13728,"Insup","Swab","1986-01-03"
289650,"Teunis","Felder","1986-01-03"
41857,"Munehiko","Beznosov","1986-01-03"
23306,"Ziva","Falco","1986-01-03"
449323,"Woody","Fujisawa","1986-01-03"
225683,"Phillip","Castellani","1986-01-03"
65835,"Arra","Beetstra","1986-01-03"
249999,"Hyuckchul","Nitto","1986-01-03"
63944,"Bluma","Litecky","1986-01-03"
279488,"Aleksandar","Vandervoorde","1986-01-03"
268018,"Yechiam","Boreale","1986-01-03"
267135,"Shigehiro","Cannata","1986-01-03"
406336,"Nishit","Heiserman","1986-01-03"
74734,"Stevo","Bierman","1986-01-03"
211618,"Tetsurou","Rabehasaina","1986-01-03"
100004,"Avishai","Nitsch","1986-01-03"
229312,"Yechezkel","Huhdanpaa","1986-01-03"
259215,"Annemarie","Sridhar","1986-01-03"
278744,"Sergi","Jeansoulin","1986-01-03"
96828,"Duri","Sessa","1986-01-03"
25139,"Aloke","Jiang","1986-01-03"
458056,"Garnet","Pocchiola","1986-01-03"
209665,"Takanari","Stentiford","1986-01-03"
478084,"Kazuyasu","Standera","1986-01-03"
25972,"Demos","Escriba","1986-01-03"
247060,"Pranay","Bamford","1986-01-03"
75971,"Honesty","Kisuki","1986-01-03"
249136,"George","Borovoy","1986-01-03"
225923,"Taiji","Masada","1986-01-03"
101905,"Ortrun","Heuter","1986-01-03"
444610,"Xuejun","Denos","1986-01-03"
75546,"Geoffrey","Samarati","1986-01-03"
19044,"Berhard","Narlikar","1986-01-03"
51250,"Leah","Alpay","1986-01-03"
468147,"Abdelaziz","Chinal","1986-01-03"
57264,"Itzchak","Passino","1986-01-03"
295025,"Ziyad","Chepyzhov","1986-01-03"
68055,"Narain","Jansen","1986-01-03"
15285,"Yurii","Veeraraghavan","1986-01-03"
210845,"Taiji","Rajala","1986-01-03"
208663,"Christoper","Heystek","1986-01-03"
232681,"Florina","Heering","1986-01-03"
408754,"Adas","Linares","1986-01-03"
40383,"Subhash","Pepe","1986-01-03"
434441,"Jahangir","Miyakawa","1986-01-03"
11378,"Masamitsu","Katiyar","1986-01-03"
235377,"Guther","Kusalik","1986-01-03"
417602,"Reinhard","Bierbaum","1986-01-03"
275998,"Hongzhu","Silva","1986-01-03"
430392,"Jinya","Marrakchi","1986-01-03"
36423,"Rosli","Tibblin","1986-01-04"
103861,"Prodip","Hiltgen","1986-01-04"
74655,"Premsyl","Speek","1986-01-04"
419862,"Odinaldo","Bressoud","1986-01-04"
240853,"Susuma","Driscoll","1986-01-04"
226857,"Neelam","Calkin","1986-01-04"
299541,"Subbu","Compeau","1986-01-04"
222587,"Kiyokazu","Chiola","1986-01-04"
236435,"Munir","Tanemo","1986-01-04"
104467,"Anoosh","Panwar","1986-01-04"
42728,"Moon","Melton","1986-01-04"
35788,"Weiyi","Burnard","1986-01-04"
474251,"Maik","Brobst","1986-01-04"
259666,"Lobel","Peac","1986-01-04"
294069,"Fei","Stellhorn","1986-01-04"
224944,"Marek","Narlikar","1986-01-04"
421753,"Giordano","Moffat","1986-01-04"
469589,"Parto","Jervis","1986-01-04"
278186,"Golgen","Rabejac","1986-01-04"
60230,"Naftali","Gecseg","1986-01-04"
31999,"Stabislas","Siksek","1986-01-04"
282720,"Falguni","Diderrich","1986-01-04"
96929,"Vidar","Pollacia","1986-01-04"
437074,"Jiang","Falco","1986-01-04"
61998,"Ute","Lunn","1986-01-04"
254860,"Lansing","Docker","1986-01-04"
277328,"Mooi","Yurek","1986-01-04"
422406,"Kamran","Muhlberg","1986-01-04"
249644,"Etsuo","Nourani","1986-01-04"
36923,"Parviz","Jeong","1986-01-04"
293091,"Branimir","Rosch","1986-01-04"
293722,"Yongqiao","Isard","1986-01-04"
52856,"Kazuhide","Speel","1986-01-04"
215032,"Limsoon","Chaudhuri","1986-01-04"
444101,"Valery","Chelton","1986-01-04"
433806,"Conor","Hmelo","1986-01-04"
240138,"Berthier","Rajaraman","1986-01-04"
208439,"Emdad","Rahier","1986-01-04"
13531,"Shuichi","Sluis","1986-01-04"
53762,"Sanjai","Seghrouchni","1986-01-04"
14695,"Udo","Cromarty","1986-01-04"
95506,"Charmane","Schicker","1986-01-04"
238586,"Marek","Bednarek","1986-01-04"
468270,"Shaunak","Atchley","1986-01-04"
20707,"Achilleas","Ciolek","1986-01-04"
457769,"Serge","Chaudhury","1986-01-04"
238044,"Leen","Conti","1986-01-04"
26700,"Poornachandra","Rindone","1986-01-04"
440036,"Pranav","Vecchio","1986-01-04"
244129,"Augustine","Picaronny","1986-01-04"
281398,"Randy","Poujol","1986-01-04"
231067,"Qingxiang","Isaak","1986-01-04"
105917,"Zhigen","England","1986-01-04"
435273,"Jiong","Michaels","1986-01-04"
63419,"Hiroyasu","Seuren","1986-01-04"
254361,"Vugranam","Levergood","1986-01-04"
248295,"Francesca","Rathonyi","1986-01-04"
81144,"Ashish","Heinisuo","1986-01-04"
271499,"Shim","Bael","1986-01-04"
99514,"Chiranjit","Ecklund","1986-01-04"
432566,"Dzung","Orlowski","1986-01-04"
59268,"Berry","Besancenot","1986-01-04"
219252,"Urs","Molberg","1986-01-04"
286490,"Gill","Ranai","1986-01-04"
247881,"Yuuichi","Baba","1986-01-04"
94912,"Radhia","Kavanagh","1986-01-04"
263301,"Masasuke","Tetzlaff","1986-01-04"
294046,"Genevieve","Etalle","1986-01-04"
216670,"Sreenivas","Paludetto","1986-01-04"
15325,"Maia","Sadowsky","1986-01-04"
414978,"Sorina","Jiafu","1986-01-04"
415169,"Yishay","Selvestrel","1986-01-04"
299593,"Aron","Panwar","1986-01-04"
222452,"Gaurav","Picco","1986-01-04"
240097,"Godehard","Kitai","1986-01-04"
90722,"Kensyu","Bolsens","1986-01-04"
261298,"Ottavia","Ventosa","1986-01-04"
215111,"Sajjad","Dahlbom","1986-01-04"
248018,"Brewster","Schmiedel","1986-01-04"
275029,"Morris","McDermid","1986-01-04"
88014,"Rasikan","Muchinsky","1986-01-04"
265009,"Tze","Harbusch","1986-01-04"
270111,"Leen","Choobineh","1986-01-04"
274140,"Kiyokazu","Radhakrishnan","1986-01-04"
269425,"Muzhong","Picco","1986-01-04"
268156,"Mahendra","Itzfeldt","1986-01-04"
497562,"Trygve","Peral","1986-01-04"
39381,"Remco","Zizka","1986-01-04"
442996,"Alejandra","Baranowski","1986-01-04"
298153,"Luigi","Plavsic","1986-01-04"
95876,"Nahla","Rosaz","1986-01-04"
413195,"Sachin","Halloran","1986-01-04"
217603,"Chinho","Hedayat","1986-01-04"
48595,"Shan","Encarnacion","1986-01-04"
431132,"Ranga","Sudbeck","1986-01-04"
265900,"Alain","Skafidas","1986-01-04"
217629,"Bilhanan","Beeson","1986-01-04"
427540,"Genevieve","Eiter","1986-01-04"
450316,"Shietung","Hettesheimer","1986-01-04"
480248,"Valter","Verhoeff","1986-01-04"
248237,"Zhonghui","Usery","1986-01-04"
277472,"Bernd","Lung","1986-01-04"
264477,"Sigeru","Orsini","1986-01-04"
246639,"Sergi","Schiettecatte","1986-01-04"
49676,"Laurentiu","Naumovich","1986-01-04"
245135,"Shirish","Burnard","1986-01-04"
71026,"Akhilish","Remmele","1986-01-04"
83643,"Jinxi","Tsukune","1986-01-05"
449516,"Ziyad","Birge","1986-01-05"
462051,"Jayesh","Stemann","1986-01-05"
235438,"Armond","Badr","1986-01-05"
248985,"Arto","Demke","1986-01-05"
486964,"Chiradeep","Barinka","1986-01-05"
261635,"Amalendu","Ruther","1986-01-05"
254388,"Leaf","Beausoleil","1986-01-05"
409583,"Rosella","Markovitch","1986-01-05"
104788,"Mabo","Serov","1986-01-05"
469998,"Christoper","Viele","1986-01-05"
422860,"Divier","Quaggetto","1986-01-05"
207569,"Vitali","Kadhim","1986-01-05"
414466,"Sastry","Chinal","1986-01-05"
228955,"Jianhui","Cincotta","1986-01-05"
265950,"Eishiro","Schicker","1986-01-05"
282084,"Gil","Chinen","1986-01-05"
75533,"Tomoyuki","Coorg","1986-01-05"
71312,"Toshimitsu","Arlazarov","1986-01-05"
471910,"Jeong","Massonet","1986-01-05"
105775,"Abdelaziz","Fontan","1986-01-05"
12779,"Miomir","Birrer","1986-01-05"
232141,"Tesuya","Lenart","1986-01-05"
107862,"Siamak","Speckmann","1986-01-05"
455435,"Berthier","Pelz","1986-01-05"
54789,"Munehiro","Boyle","1986-01-05"
23710,"Hugh","Falco","1986-01-05"
17814,"Barna","Wilfing","1986-01-05"
444500,"Remzi","Fendler","1986-01-05"
435245,"Christoph","Coullard","1986-01-05"
475681,"Dinkar","Kinley","1986-01-05"
63128,"Zhensheng","Gulak","1986-01-05"
92879,"Mana","Hellwagner","1986-01-05"
284579,"Paddy","Kambil","1986-01-05"
457799,"Shakhar","Veccia","1986-01-05"
40124,"Emran","Benzmuller","1986-01-05"
456722,"Takahito","Lampe","1986-01-05"
66756,"Xiaoqiu","Nyrup","1986-01-05"
484360,"Jackson","Gecsel","1986-01-05"
483417,"Jungsoon","Rosca","1986-01-05"
109885,"Mooi","Sessa","1986-01-05"
231776,"Lech","Solares","1986-01-05"
98973,"Aemilian","Quittner","1986-01-05"
83627,"Subhada","Lung","1986-01-05"
62872,"Kitty","Zwicker","1986-01-05"
292095,"Eben","Pramanik","1986-01-05"
205657,"Gretta","Pepe","1986-01-05"
453097,"Brigham","Ossenbruggen","1986-01-05"
37132,"Satoru","Merkl","1986-01-05"
491288,"Yakkov","Panwar","1986-01-05"
100725,"Zvonko","Maliniak","1986-01-05"
412687,"Mingzeng","Smeets","1986-01-05"
268862,"Jianhui","Rassart","1986-01-05"
95368,"Arco","Sichman","1986-01-05"
209312,"Junichi","Colorni","1986-01-05"
490777,"Apostol","Ritzmann","1986-01-05"
109385,"Valery","Bernini","1986-01-05"
463896,"Masanao","Thummel","1986-01-05"
97121,"Kristina","Lindqvist","1986-01-05"
459597,"Mohan","McDermid","1986-01-05"
101269,"Subir","Suessmith","1986-01-05"
477671,"Mikhail","Segond","1986-01-05"
15928,"Bangqing","Feinberg","1986-01-05"
19915,"Mohit","Snedden","1986-01-05"
35109,"Arup","Xiaoshan","1986-01-05"
428037,"Dines","Felcyn","1986-01-05"
241689,"Tristan","Borovoy","1986-01-05"
14551,"Richard","Sinitsyn","1986-01-05"
226347,"Yucel","Rosch","1986-01-05"
437310,"Shuichi","Skafidas","1986-01-05"
10585,"Sajjad","Willoner","1986-01-05"
465117,"Heon","Seuren","1986-01-05"
485188,"Jianhao","Marrevee","1986-01-05"
49557,"Anoosh","Staudhammer","1986-01-05"
96410,"Shuho","Brobst","1986-01-05"
72306,"Alexius","Luga","1986-01-05"
482067,"Rosella","Penz","1986-01-05"
252573,"Rafael","Guardalben","1986-01-05"
283009,"Mitchel","Erde","1986-01-05"
485966,"Mingsen","Schaad","1986-01-05"
63284,"Zita","Heuser","1986-01-05"
416135,"Sailaja","Luon","1986-01-05"
291651,"Ortrun","Baaleh","1986-01-05"
435465,"Gio","Boguraev","1986-01-05"
210014,"Jamaludin","Scharstein","1986-01-05"
466887,"Barry","Langford","1986-01-05"
444650,"Cristinel","Ghelli","1986-01-05"
86946,"Toshimi","Weedman","1986-01-05"
491658,"Shushma","Masamoto","1986-01-05"
12204,"Menkae","Mattern","1986-01-05"
290685,"Spyrose","Nations","1986-01-05"
221898,"Tesuya","Peek","1986-01-05"
27028,"Magdalena","Cooman","1986-01-05"
37217,"Nathalie","Luit","1986-01-05"
78020,"Moie","Lorie","1986-01-05"
72390,"Jianhao","Kilgore","1986-01-05"
460249,"Munir","Wynblatt","1986-01-05"
451787,"Phuoc","Gruenwald","1986-01-05"
72761,"Arto","Schlegelmilch","1986-01-05"
17696,"Feiyu","Kusalik","1986-01-06"
408452,"Toshimori","Valette","1986-01-06"
25077,"Kenroku","Preusig","1986-01-06"
250216,"Navid","Schueller","1986-01-06"
445380,"Morrie","Smeets","1986-01-06"
207854,"Kazuhito","Assaf","1986-01-06"
488363,"Lucian","Mersereau","1986-01-06"
273960,"Feipei","Bazzichi","1986-01-06"
31159,"Berto","Brandsma","1986-01-06"
296304,"Stevo","Larfeldt","1986-01-06"
35740,"Mohan","Hitomi","1986-01-06"
441927,"Diederik","Oxman","1986-01-06"
16281,"Lenore","Gustavson","1986-01-06"
265754,"Arunachalam","Schiettecatte","1986-01-06"
296719,"Indrajit","Vecchio","1986-01-06"
264713,"Hatem","Birge","1986-01-06"
260302,"Munir","Velasco","1986-01-06"
61315,"Kwun","Kalloufi","1986-01-06"
484491,"Atreye","Maierhofer","1986-01-06"
54198,"Shaowen","Segond","1986-01-06"
76534,"Pantung","Lieberherr","1986-01-06"
492245,"Nidapan","Savasere","1986-01-06"
49472,"Dipankar","Hitomi","1986-01-06"
422688,"Margareta","Schnelling","1986-01-06"
421159,"Hilary","Madeira","1986-01-06"
14265,"Jaber","Roison","1986-01-06"
255107,"Tomokazu","Furudate","1986-01-06"
26935,"Moti","Przulj","1986-01-06"
420799,"Bernt","Menyhert","1986-01-06"
244388,"Tonny","Perin","1986-01-06"
44379,"Xinglin","Perelgut","1986-01-06"
10757,"Florina","Simkin","1986-01-06"
458028,"Divier","Rabejac","1986-01-06"
492899,"Tua","Sevcikova","1986-01-06"
52770,"Shugo","Yurek","1986-01-06"
448264,"Takanari","Bugrara","1986-01-06"
405832,"Dante","Bellone","1986-01-06"
231967,"Tesuro","Kandlur","1986-01-06"
234650,"Mototsugu","Erie","1986-01-06"
298116,"Gaetan","Zhang","1986-01-06"
474040,"Ramachenga","Armand","1986-01-06"
82918,"Charlene","Uludag","1986-01-06"
267633,"Adamantios","Etalle","1986-01-06"
50446,"Eberhardt","Denti","1986-01-06"
204677,"Tetsushi","Muhling","1986-01-06"
485340,"Mansur","Bael","1986-01-06"
403595,"Maris","Thimonier","1986-01-06"
218198,"Yinghua","Ibel","1986-01-06"
288340,"Moheb","Rosin","1986-01-06"
422513,"Morrie","Vernadat","1986-01-06"
205960,"Mohit","Benveniste","1986-01-06"
52212,"Uno","Piancastelli","1986-01-06"
98230,"Renee","Castellani","1986-01-06"
77665,"Paddy","Fargier","1986-01-06"
420824,"Hausi","Schiettecatte","1986-01-06"
63409,"Fuqing","Pelz","1986-01-06"
407039,"Juichirou","Chachaty","1986-01-06"
278224,"Tsuneo","Coombs","1986-01-06"
465391,"Dipankar","Foote","1986-01-06"
273638,"Chikara","Farrar","1986-01-06"
38260,"Torsten","Vieri","1986-01-06"
58804,"Leif","Wrigley","1986-01-06"
426468,"Kensyu","Kornyak","1986-01-06"
241744,"Sadun","Luby","1986-01-06"
56425,"Shih","Erde","1986-01-06"
421872,"Phule","Azulay","1986-01-06"
57897,"Kwok","Kranzdorf","1986-01-06"
51455,"Jinpo","Schnabel","1986-01-06"
50799,"Maja","Schmiedel","1986-01-06"
473471,"Stabislas","Basawa","1986-01-06"
35345,"Divier","Tiemann","1986-01-06"
250801,"Remco","Carrere","1986-01-06"
69329,"Zhensheng","Loncour","1986-01-06"
200842,"Nishit","Manders","1986-01-06"
93086,"Arco","Lubachevsky","1986-01-06"
274315,"Tiina","Ventosa","1986-01-06"
98661,"Nahid","Bernardeschi","1986-01-06"
442853,"Chenye","Lalonde","1986-01-06"
79702,"Arie","Mattern","1986-01-06"
93634,"Dietrich","Chelton","1986-01-06"
439975,"Harngdar","Emiris","1986-01-06"
413786,"Uinam","Gulak","1986-01-06"
226205,"Sedat","Rosay","1986-01-06"
474485,"Francoise","Gente","1986-01-06"
218874,"Jordanka","Cappello","1986-01-06"
454775,"Feipei","Rikino","1986-01-06"
485367,"Carrsten","Comellas","1986-01-06"
251924,"Tristan","Rattan","1986-01-06"
292230,"Fay","Bade","1986-01-06"
269049,"Felicidad","Furudate","1986-01-06"
265746,"Koichi","Noriega","1986-01-06"
29293,"Mario","Gajiwala","1986-01-06"
59560,"Shuho","Roisin","1986-01-06"
59200,"Kinh","Rehfuss","1986-01-06"
464428,"Evgueni","Hutton","1986-01-06"
237579,"Surveyors","Simmen","1986-01-06"
61654,"Maris","Clouatre","1986-01-06"
446030,"Mahmut","Peris","1986-01-06"
460273,"Kenroku","Impagliazzo","1986-01-06"
88524,"Zorica","Einsfeld","1986-01-06"
254956,"Kitty","Huttel","1986-01-06"
295796,"Ewing","Trachtenberg","1986-01-06"
39725,"Filipp","Morton","1986-01-06"
66229,"Dannz","Mayerwieser","1986-01-06"
288341,"Aris","Koshiba","1986-01-06"
484231,"Lunjin","Peck","1986-01-06"
286709,"Abdelaziz","Kowalchuk","1986-01-06"
424765,"Lillian","Azevdeo","1986-01-06"
33565,"Aloys","Heyers","1986-01-06"
106467,"Stamatina","Barriga","1986-01-07"
293501,"Achilleas","Litecky","1986-01-07"
35892,"Ghassan","Olivero","1986-01-07"
219814,"Takahiro","Prenel","1986-01-07"
278057,"Tzvetan","Piazza","1986-01-07"
484814,"Tsz","Peir","1986-01-07"
432624,"Jinya","Standera","1986-01-07"
433703,"Guenter","Halloran","1986-01-07"
428552,"Shigeaki","Berendt","1986-01-07"
58737,"Toshimori","Herber","1986-01-07"
476608,"Qiwen","Fritzsche","1986-01-07"
84598,"Panayotis","Merli","1986-01-07"
478030,"Ymte","Malabarba","1986-01-07"
405935,"Saddek","Thimonier","1986-01-07"
69166,"Bernd","Chiodo","1986-01-07"
471928,"Khaled","Vendrig","1986-01-07"
406966,"Zissis","Zeilberger","1986-01-07"
